qid,type,question,must_include,required_region,required_tags,optional_tags,forbidden_tags,expected_behavior
G001,무드,노을 보기 좋은 애월 카페,노을리|해지개|카페봄날|애월더선셋,애월,노을|오션뷰,바다|베이커리|테라스,,must_include 중 하나 이상 + 노을/오션뷰 의도 일치
G002,무드,비 오는 날 창밖 보면서 분위기 있는 카페,웨이뷰|카페살레|커피템플|월간레코드,,조용|편안|감성,오션뷰|혼자|창밖,활기|핫플|혼잡가능,비 오는 날에는 차분한 분위기/창밖/조용 의도가 우선
G003,무드,책 읽기 좋은 조용한 카페,유람위드북스|도토관|책계일주|카페 동경앤책방,,조용|혼자|편안,감성|숨은,활기|핫플|웨이팅|혼잡가능,책 읽기/조용/혼자 의도가 상위에 반영되어야 함
G004,무드,통창으로 바다 보이는 카페,카페 한라산|웨이뷰|델문도|비선루,,오션뷰|바다,해변|통창|창가,,통창/창가 표현이 오션뷰·바다 의도로 연결되어야 함
G005,무드,조용히 작업하기 좋은 카페,나무밑|카페리커버|Tisch|파생,,조용|혼자|편안,디저트|브런치,핫플|웨이팅|혼잡가능,작업하기 좋은 조용한 후보가 상위에 와야 함
G006,무드,사진 찍기 좋은 감성 카페,해일리카페|소색채본|카페살레|MOAT(못)|수퍼플라워,,사진|감성,인생샷|오션뷰|테라스,,사진/감성 의도가 카페명보다 우선 점수화되어야 함
G007,무드,혼자 가기 좋은 조용한 카페,도토관|카페물결|저스트원더노트|나무밑,,혼자|조용,편안|감성,웨이팅|혼잡가능,혼자/조용/편안 태그가 높은 후보가 상위에 나와야 함
G008,무드,숨은 로컬 감성 카페,브라보커피웍스|아이러브눅|이후북스|아녜스의 앞치마,,숨은|로컬|감성,조용|디저트,대형|핫플,유명 대형 카페보다 숨은/로컬 감성이 우선되어야 함
G009,무드,산뷰 보면서 쉬기 좋은 카페,고사리커피|가시림|블랙이쉬레드|무로이|위이,,산뷰|감성,조용|테라스|편안,,산뷰와 쉬는 분위기 의도가 같이 반영되어야 함
G010,무드,루프탑에서 바다 보이는 카페,델문도|쉼표|빈투지|언더라운지|델문도 김녕점,,루프탑|오션뷰|바다,해변|테라스,,루프탑+오션뷰 조합 후보가 상위에 나와야 함
G011,무드,편안한 분위기의 카페,도토관|유람위드북스|카페리커버|저스트원더노트,,편안|조용,혼자|감성,활기|핫플,편안함이 단순 감성보다 우선되어야 함
G012,무드,활기 있는 핫플 카페,해지개|오아시스80|하이엔드제주|노티드|도렐 제주본점,,핫플|활기,감성|사진|디저트,조용,활기/핫플 질문에서는 조용한 후보보다 인기 후보가 우선
G013,지역,성산에서 오션뷰 좋은 카페,해일리카페|프릳츠 제주성산점|오른|카페더라이트,성산,오션뷰|바다,베이커리|대형,,성산 지역성과 오션뷰가 같이 맞아야 함
G014,지역,함덕 바다 보이는 카페,델문도|글로시말차|언더라운지|다니쉬,함덕,오션뷰|해변|바다,대형|베이커리|루프탑,,함덕+바다 의도가 같이 맞아야 함
G015,지역,애월 대형 베이커리 카페,제주당|해지개|노을리|아벨롭|오아시스80,애월,대형|베이커리,디저트|주차|오션뷰,,애월/대형/베이커리 조합을 평가
G016,지역,세화 조용한 카페,브라보커피웍스|구씨커피로스터스|리틀슬로우|무슈부부커피스탠드,세화,조용|감성,로스터리|핸드드립|로컬,웨이팅|혼잡가능,세화 지역성과 조용한 분위기 둘 다 봄
G017,지역,구좌 쪽 유명한 빵집 카페,아베베 베이커리|빵귿|김녕빵집|가는곶세화|킨조베이커리,구좌,베이커리|로컬,디저트|핫플,,구좌/김녕/세화권 베이커리 후보가 나와야 함
G018,지역,우도에서 갈만한 카페,블랑로쉐|밭318|훈데르트윈즈|우도예쁘다카페|카페살레,우도,오션뷰|디저트,대형|사진|바다,,우도 지역 후보가 우선되어야 함
G019,지역,중문에서 바다 보이는 카페,더클리프|바다다|카페오션|중문별장|바다바라,중문,오션뷰|바다,테라스|해변|감성,,중문+오션뷰 의도 평가
G020,지역,협재나 한림 해변 근처 카페,쉼표|카페 한라산|웨이뷰|뷰스트|카페리커버,협재|한림,해변|오션뷰,감성|베이커리|바다,,협재/한림권 해변 카페가 상위에 와야 함
G021,지역,김녕 바다 보이는 베이커리 카페,델문도 김녕점|김녕빵집|MOUMOON (모우문)|카페공작소,김녕,오션뷰|베이커리|바다,해변|대형,,김녕 지역성과 바다/베이커리 의도 평가
G022,지역,송당이나 구좌 산뷰 대형 카페,블루보틀|스타벅스 더제주송당파크R점|고사리커피|카페더라이트,송당|구좌,산뷰|대형,감성|주차,,구좌/송당 산뷰 대형 후보가 나와야 함
G023,지역,서귀포에서 조용한 오션뷰 카페,허니문하우스|카페리커버|도도카페|카페물결,서귀포,조용|오션뷰,감성|혼자|바다,웨이팅|혼잡가능,서귀포권에서 조용+오션뷰가 함께 맞아야 함
G024,지역,제주시내 근처 디저트 카페,풍림다방|우무|오아시스80|노티드,제주시내,디저트|감성,핫플|베이커리|시그니처,,제주시내 접근성과 디저트 의도 평가
G025,시설,주차 편한 넓은 카페,해지개|제주당|델문도|레이지펌프|오아시스80,,대형,주차|오션뷰|베이커리,,주차는 태그가 아니어도 caution/search_text에서 가산되어야 함
G026,시설,강아지 데리고 갈 수 있는 카페,노을리|해지개|카페 한라산|글로시말차|성산프릳츠,,애견,테라스|오션뷰|대형,,강아지/반려견 표현이 애견 태그와 연결되어야 함
G027,시설,아이 데리고 가기 좋은 카페,델문도|애월빵공장|서귀피안베이커리|목장카페 밭디|제주다카포,,가족|대형,주차|브런치|베이커리,노키즈존,아이/가족 질문에서는 노키즈존 후보를 감점해야 함
G028,시설,야외석에서 바다 보이는 카페,해지개|해일리카페|더클리프|글로시말차|팀 블로우,,테라스|오션뷰|바다,해변|사진,,야외석 표현이 테라스/오션뷰와 연결되어야 함
G029,시설,테라스 있는 감성 카페,글로시말차|애월더선셋|포레스텔라 인 제주|가시림|위이,,테라스|감성,산뷰|오션뷰|브런치,,테라스와 감성 태그가 동시에 잡혀야 함
G030,시설,노키즈존 피하고 가족이 가기 좋은 카페,제주당|델문도|서귀피안베이커리|목장카페 밭디|어린왕자감귤밭,,가족|대형,주차|베이커리,노키즈존,forbidden_tags에 노키즈존이 있으면 강하게 감점
G031,시설,웨이팅 적고 조용한 카페,유람위드북스|도토관|나무밑|고사리커피|카페리커버,,조용|편안,혼자|숨은,웨이팅|혼잡가능|핫플,조용 질문에서는 웨이팅/혼잡가능 후보를 감점
G032,시설,반려견이랑 산뷰 볼 수 있는 카페,가시림|블랙이쉬레드|더리트리브|담소요|우정원베이커리,,애견|산뷰,테라스|대형|감성,,애견+산뷰 조합을 평가
