카페명,지역,정보등급,블로그총량,스니펫수,카페명포함스니펫,블로거수,최신포스트,지역검색_상호,지역검색_업종,지역검색_주소,스니펫예시
제주스런카페,월정리,low,3663271,100,0,72,20260708,,,,여행을 계획하고 계신 분들이라면 일정 중에 서귀피안베이커리 제주카페 한 번쯤 들러보셔도 좋을 것 같아요 예쁜 에메랄드빛 바다를 보면서 맛있는 디저트와 함께 편안한 휴식 시간을 보내
또갈 제주 감성 카페,세화,low,1551259,100,0,95,20260708,,,,앞으로 제주여행 갈 때마다 필수코스로 들를 곳으로 저장할 예정~ 골목카페 옥수 애월읍의 한적하고 조용하고 산간 마을인 소길리 골목 안에 위치해 있어서 제주의 작은 동네 감성까지 느
또꼰한 카페,김녕,low,1275104,100,0,91,20260707,,,,"♡안녕하세요♡ 제주도에 있는 카페인 ""코코하""에 다녀왔어요. 주소 제주 제주시 구좌읍 구좌로 60 1... 주문한 메뉴 마얀카카오 4.5 카카오에스프레소 3.0 라떼 꼰 바니야 4"
우리는,세화,low,1237552,100,97,93,20260708,우리는,"음식점>카페,디저트",제주특별자치도 제주시 서광로29길 8 1층,"이쁜 구석이 많은 제주감성카페 우리는이에요. 갬성 가득한 공간이죠. 편안하면서 기분 좋은 느낌. 사장님 미술전공자 아니실까 싶은 느낌.. 힘 빼고 내추럴하게, 마치 아마추어인듯한 "
한라산,세화,low,1155601,100,100,87,20260705,카페한라산,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 면수1길 48,"맛집 & 카페 정보 제주 한라산아래첫마을영농조합 ⓒ수딩이네 리뷰일기 안녕하세요, 수딩이 입니다! 이번 포스팅에서는 제주도 찐 메밀 맛집 한라산아래첫마을영농조합법인을 소개해드리려고 "
테,중문,low,1035890,100,29,98,20260708,테 마타 호텔 서귀포 제주,숙박>호텔,제주특별자치도 서귀포시 중앙로47번길 25 테 마타 호텔,"전현무계획 성시경 먹을텐데 제주 향토음식 각재기국 맛집 멜튀김 멜국 제주도 앞뱅디식당 누나가 제주도 여행을 오면서 전현무계획, 성시경 먹을텐데를 보면서 가보고 싶어하던 제주 향토음"
또간집,남원,low,687479,100,94,95,20260707,아카렌가 한림협재점,술집>이자카야,제주특별자치도 제주시 한림읍 한림중앙로 32 2층,다음에 제주도를 다시 찾게 되었을 때 딱새우 생각이 난다면 전 자연스럽게 또 이곳으로 향하지 않을까 싶네요. 그럼 오늘의 포스팅은 여기서 마치고 다음 제주 여행 이야기로 돌아오겠습
우도,우도,low,604127,100,100,66,20260708,우도,"여행,명소>섬",제주특별자치도 제주시 우도면,"소개할게요 제주 우도여행필수코스 액티비티 즐기기 검멀레동굴보트 사진, 글 @파란만장sy 1.위치 정보 검멀레 동굴보트 제주시 우도면 우도해안길 1132 우도에서 즐길거리, 먹거리가"
나만 알고 싶은 카페,조천,low,522148,100,38,94,20260705,,,,요기 진짜 저만 알고 싶다고 했지만 이미 너무 유명한 곳인 것 같아요. 혹시 아직 못 가보신 분들을 위해 알려드립니다. 카페 용소담과 팔복만두는 공항에서도 가까우니 제주 가시면 꼭
애월 카페,애월,low,447353,100,100,81,20260708,도토리 제주점,"음식점>카페,디저트","제주특별자치도 제주시 애월읍 애월로1길 24-9 1층, 2층",조용한 제주 애월 카페 하나 ㄷㄱㅅㅈ 어떻게 읽게요 ㅎ 여기 감귤밭뷰에 창가에서 바다가 보이구요... 옆이예요 제주 다과상점 별관 들어오면 여기가 입구쪽 애월 카페거리에서도 예쁘긴
